Participant;Item;RT_ms;Step;Iteration;Voice;Condition;Response;VoiceCond
BD00;kist;430,2500001;4;6;male;ie;ie;male_ie
BD00;kist;988,135;3;7;male;ie;ie;male_ie
BD00;kist;382,035;4;7;male;ie;ie;male_ie
BD00;kist;365,975;1;7;male;ie;i;male_ie
BD00;kist;691,2649999;2;7;male;ie;i;male_ie
BD00;kist;486,9200001;1;8;male;ie;i;male_ie
BD00;kist;831,055;3;8;male;ie;ie;male_ie
BD00;kist;393,4350001;2;8;male;ie;i;male_ie
BD00;kist;389,23;4;8;male;ie;ie;male_ie
BD00;lig;760,44;1;1;male;ie;i;male_ie
BD00;lig;1992,675;2;1;male;ie;i;male_ie
BD00;lig;2129,8;4;1;male;ie;ie;male_ie
BD00;lig;530,1399999;3;1;male;ie;i;male_ie
BD00;lig;493,4;1;2;male;ie;i;male_ie
BD00;lig;842,5049999;4;2;male;ie;i;male_ie
BD00;lig;413,0249999;2;2;male;ie;i;male_ie
BD00;lig;387,595;3;2;male;ie;i;male_ie
BD00;lig;763,81;4;3;male;ie;i;male_ie
BD00;lig;404,18;1;3;male;ie;i;male_ie
BD00;lig;617,79;2;3;male;ie;i;male_ie
BD00;lig;659,215;3;3;male;ie;i;male_ie
BD00;lig;823,935;4;4;male;ie;i;male_ie
BD00;lig;699,6449999;3;4;male;ie;i;male_ie
BD00;lig;605,19;2;4;male;ie;i;male_ie
BD00;lig;697,715;1;4;male;ie;i;male_ie
BD00;lig;109,7349999;2;5;male;ie;i;male_ie
BD00;lig;156,3500001;1;5;male;ie;i;male_ie
BD00;lig;387,5599999;3;5;male;ie;i;male_ie
BD00;lig;433,62;4;5;male;ie;i;male_ie
BD00;lig;584,91;4;6;male;ie;i;male_ie
BD00;lig;477,9899999;3;6;male;ie;i;male_ie
BD00;lig;318,6850001;2;6;male;ie;i;male_ie
BD00;lig;440,6600001;1;6;male;ie;i;male_ie
BD00;lig;503,26;1;7;male;ie;i;male_ie
BD00;lig;475,395;2;7;male;ie;i;male_ie
BD00;lig;674,7300001;4;7;male;ie;i;male_ie
BD00;lig;329,48;3;7;male;ie;i;male_ie
BD00;lig;496,2150001;1;8;male;ie;i;male_ie
BD00;lig;635,935;3;8;male;ie;i;male_ie
BD00;lig;358,6950001;2;8;male;ie;i;male_ie
BD00;lig;543,33;4;8;male;ie;i;male_ie
BD00;vis;659,335;1;1;male;ie;i;male_ie
BD00;vis;611,885;4;1;male;ie;i;male_ie
BD00;vis;835,65;2;1;male;ie;i;male_ie
BD00;vis;585,07;3;1;male;ie;i;male_ie
BD00;vis;541,285;2;2;male;ie;i;male_ie
BD00;vis;492,7600001;3;2;male;ie;i;male_ie
BD00;vis;902,555;4;2;male;ie;i;male_ie
BD00;vis;564,98;1;2;male;ie;i;male_ie
BD00;vis;326,765;3;3;male;ie;i;male_ie
BD00;vis;417,7849999;2;3;male;ie;i;male_ie
BD00;vis;461,26;4;3;male;ie;i;male_ie
BD00;vis;614,74;1;3;male;ie;i;male_ie
BD00;vis;435,63;3;4;male;ie;i;male_ie
BD00;vis;461,89;4;4;male;ie;i;male_ie
BD00;vis;413,94;2;4;male;ie;i;male_ie
BD00;vis;381,6900001;1;4;male;ie;i;male_ie
BD00;vis;264,405;2;5;male;ie;i;male_ie
BD00;vis;183,205;1;5;male;ie;i;male_ie
BD00;vis;241,7;3;5;male;ie;i;male_ie
BD00;vis;420,93;4;5;male;ie;i;male_ie
BD00;vis;823,6;1;6;male;ie;i;male_ie
BD00;vis;279,18;2;6;male;ie;i;male_ie
BD00;vis;367,525;4;6;male;ie;i;male_ie
BD00;vis;449,2850001;3;6;male;ie;i;male_ie
BD00;vis;378,0950001;1;7;male;ie;i;male_ie
BD00;vis;342,89;2;7;male;ie;i;male_ie
BD00;vis;546,6850001;4;7;male;ie;i;male_ie
BD00;vis;532,85;3;7;male;ie;i;male_ie
BD00;vis;258,61;4;8;male;ie;i;male_ie
BD00;vis;254,55;3;8;male;ie;i;male_ie
BD00;vis;464,545;1;8;male;ie;i;male_ie
BD00;vis;460,3299999;2;8;male;ie;i;male_ie
BD00;wit;816,995;3;1;male;ie;i;male_ie
BD00;wit;593,08;4;1;male;ie;ie;male_ie
BD00;wit;439,3900001;1;1;male;ie;i;male_ie
BD00;wit;1835,335;2;1;male;ie;i;male_ie
BD00;wit;519,6499999;1;2;male;ie;i;male_ie
BD00;wit;397,96;3;2;male;ie;i;male_ie
BD00;wit;401,835;2;2;male;ie;i;male_ie
BD00;wit;452,3499999;4;2;male;ie;ie;male_ie
BD00;wit;159,8949999;3;3;male;ie;i;male_ie
BD00;wit;435,9949999;2;3;male;ie;i;male_ie
BD00;wit;500,3599999;4;3;male;ie;ie;male_ie
BD00;wit;711,31;1;3;male;ie;i;male_ie
BD00;wit;746,9499999;2;4;male;ie;i;male_ie
BD00;wit;595,37;3;4;male;ie;i;male_ie
BD00;wit;789,6200001;1;4;male;ie;i;male_ie
BD00;wit;452,4150001;4;4;male;ie;ie;male_ie
BD00;wit;330,8549999;1;5;male;ie;i;male_ie
BD00;wit;177,24;4;5;male;ie;ie;male_ie
BD00;wit;80,16500005;3;5;male;ie;i;male_ie
BD00;wit;291,215;2;5;male;ie;i;male_ie
BD00;wit;290,4300001;4;6;male;ie;ie;male_ie
BD00;wit;390,425;3;6;male;ie;i;male_ie
BD00;wit;331,625;2;6;male;ie;i;male_ie
BD00;wit;618,2799999;1;6;male;ie;i;male_ie
BD00;wit;580,875;3;7;male;ie;i;male_ie
BD00;wit;431,5149999;1;7;male;ie;i;male_ie
BD00;wit;724,9350001;2;7;male;ie;i;male_ie
BD00;wit;946,3;4;7;male;ie;ie;male_ie
BD00;wit;498,6200001;2;8;male;ie;i;male_ie
BD00;wit;354,225;4;8;male;ie;ie;male_ie
BD00;wit;453,135;1;8;male;ie;i;male_ie
BD00;wit;225,37;3;8;male;ie;i;male_ie
BD54;bid;1563,305;3;1;male;ie;i;male_ie
BD54;bid;657,98;1;1;male;ie;i;male_ie
BD54;bid;429,33;2;1;male;ie;i;male_ie
BD54;bid;1135,16;4;1;male;ie;i;male_ie
BD54;bid;442,715;3;2;male;ie;i;male_ie
BD54;bid;604,51;1;2;male;ie;ie;male_ie
BD54;bid;597,54;2;2;male;ie;i;male_ie
BD54;bid;496,02;4;2;male;ie;i;male_ie
BD54;bid;335,1400001;3;3;male;ie;ie;male_ie
BD54;bid;420,295;1;3;male;ie;ie;male_ie
BD54;bid;579,55;2;3;male;ie;i;male_ie
