Participant;Item;Item_Type;Correct_Response;Part_Response;RT_ms;Condition;Response
DV10;ras;filler;word;word;83,21499999;i;correct
GT29;pot;filler;word;word;83,355;ie;correct
GT29;pakket;filler;word;word;83,39;ie;correct
MR77;ras;filler;word;word;83,445;ie;correct
DV10;mosterd;filler;word;word;83,90999993;i;correct
LD19;foto;filler;word;word;84,06999998;i;correct
TX60;verstand;filler;word;word;84,18000024;i;correct
TX60;mentaal;filler;word;word;84,19500012;i;correct
TY61;voordeel;filler;word;word;84,745;i;correct
DE53;droog;filler;word;word;84,915;i;correct
TX31;afdruk;filler;word;word;84,97999999;i;correct
SN78;staart;filler;word;word;85;i;correct
KE71;klok;filler;word;word;85,25999999;ie;correct
CF47;staart;filler;word;word;85,655;i;correct
TX31;normaal;filler;word;word;85,82499999;i;correct
KF77;aap;filler;word;word;86,60999988;i;correct
CF70;afdruk;filler;word;word;87,015;ie;correct
KE71;bravo;filler;word;word;87,30500002;ie;correct
MH99;bravo;filler;word;word;87,82000002;i;correct
NF91;koorts;filler;word;word;88,17999996;ie;correct
MU27;zakdoek;filler;word;word;88,33500001;ie;correct
BT89;pakket;filler;word;word;88,445;ie;correct
SV59;donker;filler;word;word;88,555;ie;correct
XX28;onrust;filler;word;word;88,58;i;correct
SV59;kantoor;filler;word;word;88,63;ie;correct
BD00;pot;filler;word;word;88,78499991;ie;correct
MF88;water;filler;word;word;88,96999998;i;correct
SN78;roos;filler;word;word;89;i;correct
TX60;ton;filler;word;non-word;89,11500033;i;incorrect
FF38;mentaal;filler;word;word;89,31;ie;correct
MF86;baas;filler;word;word;89,72000005;i;correct
KF77;los;filler;word;word;90,30999988;i;correct
DX78;pot;filler;word;non-word;90,685;ie;incorrect
UU48;dorp;filler;word;word;90,7;ie;correct
FF20;marge;filler;word;word;90,72500002;ie;correct
DT70;soldaat;filler;word;word;90,85499984;ie;correct
NN37;roman;filler;word;word;90,915;ie;correct
BH43;baas;filler;word;word;91,18;i;correct
NX81;nobel;filler;word;word;91,32000001;i;correct
LX84;aanval;filler;word;non-word;91,875;i;incorrect
DX78;staal;filler;word;word;92,07;ie;correct
NU88;staart;filler;word;word;92,24500001;ie;correct
GF66;normaal;filler;word;word;92,37500001;ie;correct
LD19;klok;filler;word;word;92,58499998;i;correct
QX03;roos;filler;word;word;93,29;i;correct
SF29;tafel;filler;word;word;93,3;i;correct
FF20;hal;filler;word;word;93,70500001;ie;correct
TX31;klok;filler;word;word;94,14999999;i;correct
SF29;aanval;filler;word;non-word;94,305;i;incorrect
LF24;baas;filler;word;word;94,91999999;ie;correct
MD88;troon;filler;word;word;95,14;ie;correct
DF25;pakket;filler;word;word;95,14500003;i;correct
MD88;normaal;filler;word;word;95,225;ie;correct
CF70;pot;filler;word;word;95,615;ie;correct
NN37;staal;filler;word;word;95,71;ie;correct
FF20;paard;filler;word;word;95,86;ie;correct
TX60;plank;filler;word;word;95,88499973;i;correct
